,대여소_ID,주소1,주소2,위도,경도,동코드
613,ST-444,서울특별시 종로구 혜화동 56,동성중학교 앞,37.585735,127.00161,11110650
614,ST-443,서울특별시 마포구 성산동 515,서울 월드컵 경기장,37.566845,126.896446,11440730
615,ST-442,서울특별시 용산구 서빙고로 279,서빙고동 주민센터 앞,37.520336,126.994263,11170690
616,ST-441,서울특별시 용산구 효창원로 161,효창동주민센터 앞,37.54232,126.96196,11170580
617,ST-440,서울특별시 용산구 이촌로 219,이촌1동 마을공원,37.522041,126.965523,11170630
618,ST-439,서울특별시 용산구 한강대로 349,청파동입구 교차로,37.549026,126.971947,11170530
619,ST-438,서울특별시 용산구 원효로97길 33-4,선린인터넷 고등학교,37.541653,126.970505,11170555
620,ST-437,서울특별시 용산구 청파로47길 100,숙명여대 입구 교차로,37.544895,126.969383,11170555
621,ST-436,서울특별시 용산구 한강대로 161,삼각지역 4번출구 앞,37.533451,126.971733,11170625
622,ST-435,서울특별시 용산구 한강대로 115,신용산역 6번출구 앞,37.530148,126.968483,11170625
623,ST-434,서울특별시 용산구 백범로 350,원효로1동 주민센터 앞,37.537514,126.967567,11170560
624,ST-433,서울특별시 양천구 가로공원로 145,신월보건센터 부근,37.536671,126.832184,11470600
625,ST-432,서울특별시 양천구 신월로 97,서울강월초등학교 앞,37.516197,126.8349,11470611
626,ST-431,서울특별시 양천구 등촌로 2,홍익병원앞 교차로,37.530369,126.864258,11470540
627,ST-430,서울특별시 양천구 목동중앙서로7길 26,목동 삼성쉐르빌 앞,37.522659,126.870834,11470670
628,ST-43,서울특별시 서대문구 창천동 84-16,,37.559864,126.934418,11410585
629,ST-429,서울특별시 양천구 목동서로 221,목동 굿모닝탑,37.514713,126.860916,11470680
630,ST-428,서울특별시 양천구 목동서로 355,,37.517319,126.864319,11470670
631,ST-427,서울특별시 양천구 목동서로 201,KT 목동타워 앞,37.52845,126.8722,11470510
632,ST-426,서울특별시 영등포구 당산로52길 3,당산육갑문,37.535339,126.903679,11560560
633,ST-425,서울특별시 영등포구 여의동로 48,샛강생태공원장문자센터 앞,37.518963,126.921616,11560540
634,ST-424,서울특별시 영등포구 여의나루로 76,증권거래소후문교차로,37.522343,126.927101,11560540
635,ST-423,서울특별시 영등포구 여의나루로 96,MBC,0.0,0.0,NaN
636,ST-422,서울특별시 영등포구 양평로 58,그랜드컨벤션센터 앞,37.534718,126.900002,11560560
